test,analysis,n_conf,n_spur,p_holm,effect,min_detectable,decisive,direction_ok,defect,label,reason,decisive_by_diff,scenario,control_p,control_vetoed
D1,primary,309,179,1.0,-3.6159172678129625e-05,0.15,True,False,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.150 <= effect under test 0.154,True,null_eb26,0.9995292695292632,False
D2,primary,633,347,1.0,0.5152264273779769,0.5750000000000001,True,True,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.659,,null_eb26,0.9995292695292632,False
D3,primary,633,347,1.0,0.4885249782609685,0.5750000000000001,True,True,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.656,,null_eb26,0.9995292695292632,False
D4,primary,633,347,0.8194959612307722,0.0076257335500407,0.35,False,True,GAP-4,UNDERPOWERED,not significant (Holm p 0.8195) and NOT decisive: smallest detectable 0.350 > effect under test 0.300,True,null_eb26,0.9995292695292632,False
D1,pooled,325,192,1.0,0.0092467948717948,0.15,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",True,null_eb26,0.7131945667040149,False
D2,pooled,675,370,0.7201541442799613,0.5272952952952953,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,null_eb26,0.7131945667040149,False
D3,pooled,675,370,0.8573458241151738,0.4744504504504504,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,null_eb26,0.7131945667040149,False
D1,primary,245,243,0.7929566169759223,0.0250944822373393,0.15,True,True,,NULL,not significant (Holm p 0.7930) and DECISIVE: smallest detectable 0.150 <= effect under test 0.154,True,null_even,0.5569173163565564,False
D2,primary,490,490,1.0,0.4959350270720533,0.5750000000000001,True,False,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.659,,null_even,0.5569173163565564,False
D3,primary,490,490,1.0,0.4937567680133278,0.5750000000000001,True,True,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.656,,null_even,0.5569173163565564,False
D4,primary,490,490,0.662273713686546,-0.0142857142857142,0.4,False,False,GAP-4,UNDERPOWERED,not significant (Holm p 0.6623) and NOT decisive: smallest detectable 0.400 > effect under test 0.300,True,null_even,0.5569173163565564,False
D1,pooled,261,256,0.4391951161114645,0.0321479885057471,0.15,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",True,null_even,0.4409454733534319,False
D2,pooled,532,513,1.0,0.5101038414750326,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,null_even,0.4409454733534319,False
D3,pooled,532,513,0.8379612371375855,0.4775700215450908,0.55,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,null_even,0.4409454733534319,False
D1,primary,116,372,1.0,0.0127919911012235,0.15,True,True,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.150 <= effect under test 0.154,True,null_harness,0.7384754078294309,False
D2,primary,245,735,1.0,0.4916340413716507,0.5750000000000001,True,False,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.659,,null_harness,0.7384754078294309,False
D3,primary,245,735,0.9559370384094812,0.4807941135637928,0.5750000000000001,True,True,,NULL,not significant (Holm p 0.9559) and DECISIVE: smallest detectable 0.575 <= effect under test 0.656,,null_harness,0.7384754078294309,False
D4,primary,245,735,0.4006513113803161,-0.0285714285714285,0.4,False,False,GAP-4,UNDERPOWERED,not significant (Holm p 0.4007) and NOT decisive: smallest detectable 0.400 > effect under test 0.300,True,null_harness,0.7384754078294309,False
D1,pooled,132,385,1.0,0.022077922077922,0.15,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",True,null_harness,0.8053677431182955,False
D2,pooled,287,758,1.0,0.5151692055932998,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,null_harness,0.8053677431182955,False
D3,pooled,287,758,0.1703603292135106,0.4561242220036222,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,null_harness,0.8053677431182955,False
D1,primary,313,172,1.597226999487677e-12,0.1511627906976744,0.05,True,True,,POSITIVE,"Holm p 0.0000, pre-registered direction, DECISIVE",True,d1_effect,0.9961223959545088,False
D2,primary,631,346,0.4960737963838594,0.5298452772459533,0.5750000000000001,True,True,,NULL,not significant (Holm p 0.4961) and DECISIVE: smallest detectable 0.575 <= effect under test 0.659,,d1_effect,0.9961223959545088,False
D3,primary,631,346,0.0473825631973222,0.5513269147971382,0.5750000000000001,True,False,,DIRECTION REVERSAL,Holm p 0.0474 but the effect (0.5513269147971382) is opposite to the pre-registered direction (auc_below_half),,d1_effect,0.9961223959545088,False
D4,primary,631,346,0.2526793273242724,-0.0355889816146496,0.4,False,False,GAP-4,UNDERPOWERED,not significant (Holm p 0.2527) and NOT decisive: smallest detectable 0.400 > effect under test 0.300,True,d1_effect,0.9961223959545088,False
D1,pooled,329,185,2.7623013755036815e-13,0.1513513513513513,0.05,True,True,,"POSITIVE (conservative, pooled)","significant in the pooled secondary: a conservative positive, it survived dilution",True,d1_effect,0.7207026156366811,False
D2,pooled,673,369,0.1537132285874525,0.5404188662986185,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,d1_effect,0.7207026156366811,False
D3,pooled,673,369,0.3728761965781566,0.5333599101221325,0.5750000000000001,True,False,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,d1_effect,0.7207026156366811,False
D1,primary,323,165,0.0269701039623306,0.0627826250117271,0.15,True,True,,POSITIVE,"Holm p 0.0270, pre-registered direction, DECISIVE",True,d2_effect,0.1076992625512255,False
D2,primary,633,347,5.224722430108049e-15,0.654752311621618,0.5750000000000001,True,True,,POSITIVE,"Holm p 0.0000, pre-registered direction, DECISIVE",,d2_effect,0.1076992625512255,False
D3,primary,633,347,0.3115582759136537,0.4662851523553273,0.5750000000000001,True,True,,NULL,not significant (Holm p 0.3116) and DECISIVE: smallest detectable 0.575 <= effect under test 0.656,,d2_effect,0.1076992625512255,False
D4,primary,633,347,0.0183288618409183,0.0700884585091804,0.35,False,True,GAP-4+GAP-1,POSITIVE (not decisive),"Holm p 0.0183 in the pre-registered direction, but NOT decisive (smallest detectable 0.350 > effect under test 0.300).  Section 5 has no label for this combination.",True,d2_effect,0.1076992625512255,False
D1,pooled,339,178,0.0103318273702037,0.0683934904378376,0.15,True,True,,"POSITIVE (conservative, pooled)","significant in the pooled secondary: a conservative positive, it survived dilution",True,d2_effect,0.2339444375500655,False
D2,pooled,675,370,2.3790662989183555e-16,0.6567907907907908,0.5750000000000001,True,True,,"POSITIVE (conservative, pooled)","significant in the pooled secondary: a conservative positive, it survived dilution",,d2_effect,0.2339444375500655,False
D3,pooled,675,370,0.0560049081006861,0.4540920920920921,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,d2_effect,0.2339444375500655,False
D1,primary,323,165,1.0,0.0078431372549019,0.15,True,True,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.150 <= effect under test 0.154,True,d3_effect,0.5236292598031979,False
D2,primary,633,347,1.0,0.4918666429927475,0.5750000000000001,True,False,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.659,,d3_effect,0.5236292598031979,False
D3,primary,633,347,3.631821444536419e-15,0.3439592808591811,0.5750000000000001,True,True,,POSITIVE,"Holm p 0.0000, pre-registered direction, DECISIVE",,d3_effect,0.5236292598031979,False
D4,primary,633,347,3.476921192411366e-09,0.1771674155819914,0.3,True,True,,POSITIVE,"Holm p 0.0000, pre-registered direction, DECISIVE",True,d3_effect,0.5236292598031979,False
D1,pooled,339,178,1.0,0.0169865102250505,0.15,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",True,d3_effect,0.8010044451269378,False
D2,pooled,675,370,1.0,0.5054594594594595,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,d3_effect,0.8010044451269378,False
