key,claimed,rederived,tier,source,verdict,note
n_clean_pairs,632668,632668,bulk,data/w2_pairs.parquet,VERIFIED,
n_dr2_main_rows,1975540,1975540,out,out/w2_stats.json,VERIFIED,
n_dr1_main_rows,930203,930203,out,out/w2_stats.json,VERIFIED,
n_uid_dr1_nonzero,742056,742056,out,out/w2_stats.json,VERIFIED,
frac_dr2_with_dr1_crosswalk_pct,37.6,37.6,out,out/w2_stats.json,VERIFIED,
n_bright_tier_20sigma,1238,1238,out,out/w2_stats.json,VERIFIED,
scale_offset_median_R,0.979,0.979,out,out/w2_stats.json,VERIFIED,
scale_offset_pct,2.0,2.1,out,out/w2_stats.json,CORRECTED,
all_clean_median_R,0.825,0.825,out,out/w2_stats.json,VERIFIED,
n_z5,2138,2138,out,out/w2_stats.json,VERIFIED,
n_cons_amp_gt5_stacked,62,62,out,out/w2_stats.json,VERIFIED,
n_cons_amp_gt10_stacked,14,14,out,out/w2_stats.json,VERIFIED,
n_epoch_amp_gt5,225,225,out,out/w2_stats.json,VERIFIED,
n_epoch_amp_gt10,49,49,out,out/w2_stats.json,VERIFIED,
n_dr1_clean_detlike30,118253,118253,out,out/w2_stats.json,VERIFIED,
n_vanished_detlike30,261,261,out,out/w2_stats.json,VERIFIED,
n_new_bright,286,286,out,out/w2_stats.json,VERIFIED,
scale_offset_median_R_INDEPENDENT,0.979,0.979,bulk,data/w2_pairs.parquet recomputed,VERIFIED,independent recompute over n=1238 >=20sigma pairs
n_bright_tier_INDEPENDENT,1238,1238,bulk,data/w2_pairs.parquet recomputed,VERIFIED,
all_clean_median_R_INDEPENDENT,0.825,0.825,bulk,"data/w2_pairs.parquet recomputed, scale-normalised",VERIFIED,raw (un-normalised) median ratio is 0.808
exposure_ratio_t3_over_t1_median,2.9,2.84,bulk,data/w2_pairs.parquet ML_EXP_1 / ML_EXP_1_D1,CORRECTED,M1 quotes 2.9 'over the ranked set'; over all clean pairs it is 2.84
vanished_census_rows,261,261,out,out/m2_vanished_forensics.csv,VERIFIED,
n_fade_candidates,107,107,out,out/m2_vanished_forensics.csv,VERIFIED,
n_artifacts,148,148,out,out/m2_vanished_forensics.csv,VERIFIED,
n_indeterminate,6,6,out,out/m2_vanished_forensics.csv,VERIFIED,
artifact_pct,57,57,out,out/m2_vanished_forensics.csv,VERIFIED,
fader_pct,41,41,out,out/m2_vanished_forensics.csv,VERIFIED,
n_artifact_confusion_mode,85,85,out,out/m2_vanished_forensics.csv,VERIFIED,
n_artifact_extended_mode,36,36,out,out/m2_vanished_forensics.csv,VERIFIED,
n_artifact_split_mode,25,25,out,out/m2_vanished_forensics.csv,VERIFIED,
vanished_frac_of_bright_dr1_pct,0.22,0.22,out,derived: 261 / 118253,VERIFIED,
fader_frac_of_bright_dr1_pct,0.09,0.09,out,derived: 107 / 118253,VERIFIED,
