oid,vet_class,rule,evidence,rank_score,channel,gal_b,mag_at_pass,amp,ptp_band,flag_known_cv,arm,ra,dec
ZTF18abimytv,known_variable,R2b,"VSX YSO at 0.16 arcsec AND Gaia DR3 vclassre YSO at 0.13 arcsec; 366 alerts, continuously detected 16-19 for seven years with repeated comparable-amplitude excursions and no quiescent floor. A genuine young stellar object.",2.504,A1_cv_outburst,-7.704574181602491,18.82244,2.511,2.548,,E2_outburst,287.3283554,-8.2509021
ZTF19aaocygn,known_variable,R2c,"red-variable trap: J-K=2.70, BP-RP=2.82, multi-hundred-day timescales; VSX YSO at 0.25 arcsec and Gaia vclassre YSO at 0.24 arcsec; 298 alerts, persistent, no floor, so R2b fires as well.",2.201,A1_cv_outburst,5.101933622464191,18.182362,2.644,1.287,,E2_outburst,277.2091978,0.1637724
ZTF24abuzrht,plausible_transient,R3,"faint but centred positive source in the difference, no dipole and no residual structure; no VSX / ATLAS-VS / Gaia-variability match at all; 9 alerts over 30 days at 19.1-20.2 against a reference at ~21.5, a 2.6 mag excursion from a definable baseline. CAVEAT recorded at vetting time: |b| = -79.5 deg, so far out of the plane that a faint supernova is at least as likely as a CV.",2.188,A1_cv_outburst,-79.50142572562312,19.837908,2.569,1.32,,E2_outburst,6.2955274,-18.5413723
ZTF19adhngbf,known_variable,R2b,"80 alerts at 19.2-20.2 in clusters across five years with no quiescent floor. Two strong bipolar residuals elsewhere in the stamp but nothing visible at the position itself, so R3a would also have failed.",1.941,A1_cv_outburst,6.529736275666981,19.363644,1.243,0.888,,E2_outburst,279.215931,7.2588081
ZTF18abvosgm,known_variable,R2b,the position sits on the disc of a resolved edge-on galaxy visible in both the science and template stamps; 30 alerts at 18.8-19.6 spread over six years with no floor. The VSX UG match is 4.79 arcsec away and does not plausibly belong to this source.,1.363,A1_cv_outburst,-22.348820153146185,19.281672,2.562,0.676,,E2_outburst,299.2003398,-18.1923382
ZTF24abuztdc,undecidable,R4,"no clean PSF visible in the difference stamp at mag 19.8 with sigma=6.9, so R3a cannot be confirmed; 7 alerts over 350 days is too few for R2b. Evidence insufficient either way.",1.115,A1_cv_outburst,-74.81212621875625,19.828556,1.354,0.147,,E2_outburst,27.1181225,-19.4061678
ZTF18acvmvpg,known_cv_outburst,R2-subtally,"VSX type UG at 0.81 arcsec, a catalogued U Gem dwarf nova. 63 alerts showing textbook repeated outbursts to 15.9-16.5 with quiescent gaps between, and it is erupting again now, 3.8 mag above quiescence. A real event, correctly found and correctly flagged known_cv, but not a new object.",1.007,A1_cv_outburst,7.105498698527731,16.823872,3.768,2.611,VSX:UG,E2_outburst,281.1903398,12.4602206
ZTF19acbplek,plausible_transient,R3,"the object the M2-02 vetting also identified, re-vetted independently here on the current episode: compact positive source, no VSX / ATLAS-VS / Gaia-var match, no Gaia DR3 counterpart at all, PS1 reference magnitude 21.8, episodic clusters at 17.7-19.9 over seven years returning to non-detection between them, 3.69 mag above quiescence. Uncatalogued dwarf nova.",1.006,A1_cv_outburst,17.727683156527302,18.394321,3.694,0.057,,E2_outburst,267.0175895,8.0610335
ZTF18abzvuub,known_cv_outburst,R2-subtally,"VSX type UG at 0.07 arcsec. 26 alerts in three clean outburst clusters (MJD 60520, 60850, 61265) reaching 16.4-16.7 with nothing in between: a textbook dwarf nova, already catalogued.",0.996,A1_cv_outburst,-6.28356422907757,16.658516,3.104,0.508,VSX:UG,E2_outburst,284.32698,-11.009
ZTF23aajtssy,known_variable,R2b,"313 alerts, continuously detected from MJD 60100, rising 20.5 to 19.1 and staying there, with repeated excursions and no quiescent floor; BP-RP=0.07 (very blue), no significant parallax, |b| = -27.5 deg. AGN-shaped.",0.63,A1_cv_outburst,-27.48761396304412,19.430157,2.307,0.414,,E2_outburst,312.1949593,-3.3008692
ZTF19aarylmv,artifact,R1a,"positive lobe at the position with a deep adjacent negative lobe immediately to its right, plus a large bipolar complex up-right and another below. VSX type UG: at 0.15 arcsec, so also a catalogued CV, but the difference stamp at the trigger epoch is a subtraction residual.",0.381,A1_cv_outburst,17.01728504448779,17.713104,4.671,1.026,VSX:UG:,E2_outburst,262.6073866,-1.9150964
ZTF19aafohks,known_cv_outburst,R2-subtally,"VSX type UG at 0.04 arcsec AND Gaia DR3 vclassre CV at 0.03 arcsec. 56 alerts in outburst clusters at 18.9-20.5 across seven years. Channel D, |b| = 14.2 deg. Real, catalogued, not new.",0.266,D_galactic_plane,14.158666937983725,19.213451,3.122,1.034,VSX:UG,E2_outburst,268.1301022,2.3266796
ZTF21abfxngg,known_variable,R2b,"262 alerts, continuously detected at 19.3-20.3 for six years with no quiescent floor; BP-RP=0.45, parallax consistent with zero, |b| = -58.6 deg. AGN-shaped, though nothing catalogues it.",0.254,A1_cv_outburst,-58.597903388948566,19.608301,1.366,0.416,,E2_outburst,339.1828991,-20.5391305
ZTF18abmirqr,artifact,R1a,"positive core at the position with a deep negative lobe directly above and a second dipole up-right. VSX type UG at 0.06 arcsec, and the light curve is continuously detected at 18.0-20.5 for seven years rather than episodic, i.e. nova-like / Z Cam behaviour, not an isolated outburst.",0.231,A1_cv_outburst,-7.924776383681518,18.009369,1.827,2.164,VSX:UG,E2_outburst,290.3116615,-2.8389403
ZTF20ackoxkt,known_variable,R2b,"Gaia DR3 vclassre AGN at 0.16 arcsec; 43 alerts at 19.8-20.8 over six years with no quiescent floor; parallax consistent with zero, |b| = -76.1 deg.",-0.188,A1_cv_outburst,-76.0534818761098,20.124601,1.618,0.329,,E2_outburst,10.867828,-13.3066601
ZTF20abmkdhu,known_variable,R2b,"Gaia DR3 vclassre AGN at 0.37 arcsec; 37 alerts at 19.7-20.4 over six years, no floor; |b| = -51.2 deg.",-0.194,A1_cv_outburst,-51.19612575702566,19.611176,1.599,0.332,,E2_outburst,329.3054126,-25.8598316
ZTF21abjznrj,known_variable,R2b,"Gaia DR3 vclassre AGN at 0.19 arcsec; 260 alerts, persistent 19.0-20.3 over six years, no floor; BP-RP=0.53, |b| = -37.1 deg.",-0.201,A1_cv_outburst,-37.06545562955306,19.303371,1.511,0.389,,E2_outburst,313.3319502,-25.2517427
ZTF19abdrtby,known_variable,R2b,Gaia DR3 vclassre AGN at 0.18 arcsec; 567 alerts of classic stochastic wandering between 18.7 and 20.0 over six years with no floor.,-0.226,A1_cv_outburst,-45.47282462776556,19.143017,1.434,0.401,,E2_outburst,328.8089774,-10.6513555
ZTF20abmrpsq,known_variable,R2b,"Gaia DR3 vclassre AGN at 0.27 arcsec; 251 alerts, persistent 18.8-20.4 over six years, no floor. The same object the M2-02 vetting classed as an AGN, reached independently here.",-0.24,A1_cv_outburst,-44.99197137307839,19.430664,1.457,0.355,,E2_outburst,322.3297179,-25.5233083
