source_id,release,source_id_dr3,nss_solution_type,orbit_source,orbit_period_d,orbit_significance,orbit_a0_mas,queue_bin,queue_rank,n_transits_fetched,n_transits_used,f2_single_star,parallax_mas,excess_noise_mas,fit_model,fit_seconds,verdict,verdict_scope,verdict_basis,verdict_confidence,verdict_confidence_basis,flag_alias_1yr,flag_low_lat,flag_hi_sigma_ti2,flag_xray_active,flag_dust_unresolved_south,flag_dust_sigma_fragile,flag_astrom_quiet,schema_version,verdict_source,verdict_source_version,config_version,epoch_data_release,epoch_data_structure,gaiasupdate_version,produced_utc,run_id,notes
3640889032890567040,Gaia DR3,3640889032890567040,,elbadry2026_table,1076.223,7.7,,external,,,,,,,,,SPURIOUS,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,BH candidate ruled out by Simon2026
4373465352415301632,Gaia DR3,4373465352415301632,Orbital,elbadry2026_table,185.766,13.6,,v2_main,1,,,,,,,,CONFIRMED,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,Gaia BH1
6281177228434199296,Gaia DR3,6281177228434199296,,elbadry2026_table,153.947,24.3,,external,,,,,,,,,SPURIOUS,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,BH candidate ruled out by Simon2026
5870569352746779008,Gaia DR3,5870569352746779008,AstroSpectroSB1,elbadry2026_table,1352.289,39.8,,v2_main,2,,,,,,,,CONFIRMED,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,True,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,Gaia BH2
3664684869697065984,Gaia DR3,3664684869697065984,,elbadry2026_table,1220.455,6.1,,external,,,,,,,,,SPURIOUS,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,BH candidate ruled out by ElBadry2023BH1
2278534305772981504,Gaia DR3,2278534305772981504,,elbadry2026_table,788.822,5.9,,external,,,,,,,,,SPURIOUS,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,RVs inconsistent with orbital solution
3509370326763016704,Gaia DR3,3509370326763016704,Orbital,elbadry2026_table,109.392,76.1,,v2_main,3,,,,,,,,SPURIOUS,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,BH candidate ruled out by Simon2026
1925560664891372544,Gaia DR3,1925560664891372544,,elbadry2026_table,1022.904,6.2,,external,,,,,,,,,SPURIOUS,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,RVs inconsistent with orbital solution
3263804373319076480,Gaia DR3,3263804373319076480,AstroSpectroSB1,elbadry2026_table,510.728,18.1,,v2_main,8,,,,,,,,SPURIOUS,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,BH candidate ruled out by Simon2026
6802634430521968000,Gaia DR3,6802634430521968000,,elbadry2026_table,584.305,20.2,,external,,,,,,,,,SPURIOUS,compact_companion,rv_followup,HIGH,"published follow-up verdict; EB26 report it as a decision, not a score -- UNKNOWN/MARGINAL rows carry their own label in `verdict` rather than a downgraded confidence",False,False,False,False,False,False,False,day1_verdict.v1,elbadry2026,"El-Badry et al. 2026, arXiv:2608.06453 -- follow-up verdict table, parsed by scripts/parse_elbadry2026_table.py into fixtures/elbadry2026_astrometric_candidates.csv",5,,,,2026-08-21T18:57:46Z,eb26_import_v1,RVs inconsistent with orbital solution
